region;peat_type;year;EF_drained_peatland
south;2;1990;-1.07544459972845
south;4;1990;0.374749847833265
south;6;1990;-0.201116059825735
south;7;1990;-0.620570059724345
south;1;1991;-0.806141532645565
south;2;1991;-1.12903097111839
south;4;1991;0.322591797683285
south;6;1991;-0.262333475008665
south;7;1991;-0.681735483030214
south;1;1992;-0.766326902166479
south;2;1992;-1.08958861653822
south;4;1992;0.363952440995191
south;6;1992;-0.229932975381559
south;7;1992;-0.649412844643449
south;1;1993;-0.684614010602501
south;2;1993;-1.00893717773344
south;4;1993;0.445148292326499
south;6;1993;-0.158363991229461
south;7;1993;-0.579812697306131
south;1;1994;-0.618853934087644
south;2;1994;-0.943910630371194
south;4;1994;0.511213011682856
south;6;1994;-0.101188158622084
south;7;1994;-0.523728956891094
south;1;1995;-0.63069067219139
south;2;1995;-0.9562004021436
south;4;1995;0.500852137859989
south;6;1995;-0.12047569148699
south;7;1995;-0.54269028030539
south;1;1996;-0.673797770444054
south;2;1996;-1.00069642758423
south;4;1996;0.456785204515386
south;6;1996;-0.173289020863614
south;7;1996;-0.596925127606154
south;1;1997;-0.60102871492862
south;2;1997;-0.92915014952113
south;4;1997;0.52833329932151
south;6;1997;-0.11108386229122
south;7;1997;-0.53721233312703
south;1;1998;-0.601014664313675
south;2;1998;-0.931376507189765
south;4;1998;0.525153811129115
south;6;1998;-0.123177604308285
south;7;1998;-0.550525675917275
south;1;1999;-0.60799166865857
south;2;1999;-0.94740751646832
south;4;1999;0.51371382429029
south;6;1999;-0.13899936573279
south;7;1999;-0.55564226776725
south;1;2000;-0.600655441162247
south;2;2000;-0.949956563618617
south;4;2000;0.513296532250193
south;6;2000;-0.144243156450087
south;7;2000;-0.552072098188157
south;1;2001;-0.651451508107996
south;2;2001;-1.01051680906712
south;4;2001;0.455569403053164
south;6;2001;-0.206580164662745
south;7;2001;-0.605195325022286
south;1;2002;-0.634679111619056
south;2;2002;-1.00351324509341
south;4;2002;0.464952835421974
south;6;2002;-0.202430189013366
south;7;2002;-0.594031809290666
south;1;2003;-0.645497763168916
south;2;2003;-1.02513274620123
south;4;2003;0.443723573344774
south;6;2003;-0.228785935078156
south;7;2003;-0.613516945087376
south;1;2004;-0.618252698960137
south;2;2004;-1.00710940399646
south;4;2004;0.464680002901273
south;6;2004;-0.212666458983057
south;7;2004;-0.588825902388217
south;1;2005;-0.641195760092764
south;2;2005;-1.04096555499391
south;4;2005;0.431396545155825
south;6;2005;-0.251128271759525
south;7;2005;-0.619315922410705
south;1;2006;-0.734667020268454
south;2;2006;-1.14390560979103
south;4;2006;0.331802630034016
south;6;2006;-0.355260324763214
south;7;2006;-0.714303358613814
south;1;2007;-0.723314125712051
south;2;2007;-1.13798608407793
south;4;2007;0.340599714810791
south;6;2007;-0.34852232491862
south;7;2007;-0.71437204136082
south;1;2008;-0.771232042505842
south;2;2008;-1.19052955345183
south;4;2008;0.292344222703128
south;6;2008;-0.398943948666352
south;7;2008;-0.770641219476832
south;1;2009;-0.841653442107018
south;2;2009;-1.26627767923748
south;4;2009;0.219463785021682
south;6;2009;-0.474267454071788
south;7;2009;-0.852283018789798
south;1;2010;-0.771867064099228
south;2;2010;-1.20125864024362
south;4;2010;0.288402892722292
south;6;2010;-0.407213666410978
south;7;2010;-0.790007696906108
south;1;2011;-1.12695851495797
south;2;2011;-1.42911909134517
south;4;2011;0.139587095088074
south;6;2011;-0.454854773232966
south;7;2011;-0.878295350191846
south;1;2012;-1.17189590127242
south;2;2012;-1.47050084141719
south;4;2012;0.101989679034092
south;6;2012;-0.488514636254928
south;7;2012;-0.912896587271508
south;1;2013;-1.14413680232899
south;2;2013;-1.43952561244779
south;4;2013;0.135866821105366
south;6;2013;-0.451316259221894
south;7;2013;-0.877673017258694
south;1;2014;-1.16955978025226
south;2;2014;-1.46067573463549
south;4;2014;0.118956063534013
south;6;2014;-0.464608560981857
south;7;2014;-0.893063823308377
south;1;2015;-1.15771342871838
south;2;2015;-1.4450960156477
south;4;2015;0.138639555216325
south;6;2015;-0.441357183493825
south;7;2015;-0.870884448013765
south;1;2016;-1.17501238768074
south;2;2016;-1.45839059297856
south;4;2016;0.12994590152145
south;6;2016;-0.44627679159708
south;7;2016;-0.87641036904004
south;1;2017;-1.17472388276035
south;2;2017;-1.46188143161913
south;4;2017;0.132726301208739
south;6;2017;-0.445620788764131
south;7;2017;-0.876938756661171
south;1;2018;-1.15092595767712
south;2;2018;-1.44250186944113
south;4;2018;0.157055160777554
south;6;2018;-0.423278279229906
south;7;2018;-0.856231518027426
south;1;2019;-1.20540685813592
south;2;2019;-1.50135712036551
south;4;2019;0.102641792403269
south;6;2019;-0.480128294266352
south;7;2019;-0.915576995802202
south;1;2020;-1.30391047886001
south;2;2020;-1.6042630573562
south;4;2020;0.00508124496476459
south;6;2020;-0.579423187193696
south;7;2020;-1.01537367137916
south;1;2021;-1.26938475764611
south;2;2021;-1.5740801576121
south;4;2021;0.0399738165153893
south;6;2021;-0.546129398955431
south;7;2021;-0.983554325182831
south;1;2022;-1.37134568625579
south;2;2022;-1.67289319004121
south;4;2022;-0.0551178701522419
south;6;2022;-0.639319238397972
south;7;2022;-1.07793330383174
south;1;2023;-1.39040308827351
south;2;2023;-1.68869689051514
south;4;2023;-0.0671104897631674
south;6;2023;-0.649590079559018
south;7;2023;-1.08897930213231
south;1;2024;-1.4076530678175
south;2;2024;-1.70269316851534
south;4;2024;-0.0772956869003716
south;6;2024;-0.658053498246342
south;7;2024;-1.09821787795915
south;1;2025;-1.42250726106426
south;2;2025;-1.71429366021831
south;4;2025;-0.0850850977403406
south;6;2025;-0.664121130636431
south;7;2025;-1.10506066748876
south;1;2026;-1.4379544032149
south;2;2026;-1.72648710082516
south;4;2026;-0.0934674574841923
south;6;2026;-0.670781711930403
south;7;2026;-1.11249640592225
south;1;2027;-1.450973910997
south;2;2027;-1.73818438244169
south;4;2027;-0.10429877789444
south;6;2027;-0.6761540064802
south;7;2027;-1.11836474681149
south;1;2028;-1.46244369335558
south;2;2028;-1.7483319386347
south;4;2028;-0.113580372881166
south;6;2028;-0.679976575606476
south;7;2028;-1.12268336227721
south;1;2029;-1.4740092378761
south;2;2029;-1.75857525698965
south;4;2029;-0.122957730029841
south;6;2029;-0.683894906894691
south;7;2029;-1.12709773990487
south;1;2030;-1.48259408216577
south;2;2030;-1.76583787511375
south;4;2030;-0.129354386947658
south;6;2030;-0.684832537952068
south;7;2030;-1.12853141730168
south;1;2031;-1.49369111611218
south;2;2031;-1.77561268289459
south;4;2031;-0.138263233522217
south;6;2031;-0.688282358666177
south;7;2031;-1.13247728435523
south;1;2032;-1.50359903965206
south;2;2032;-1.78598998702655
south;4;2032;-0.151225683058307
south;6;2032;-0.693397349355107
south;7;2032;-1.13665489588314
south;1;2033;-1.5123178021976
south;2;2033;-1.79517813016417
south;4;2033;-0.162998971600084
south;6;2033;-0.697323179049714
south;7;2033;-1.13964334641673
south;1;2034;-1.51893282570362
south;2;2034;-1.80226253426228
south;4;2034;-0.17266852110232
south;6;2034;-0.69914526970479
south;7;2034;-1.14052805791079
south;1;2035;-1.52555694316288
south;2;2035;-1.80935603231361
south;4;2035;-0.182347164557796
south;6;2035;-0.700976454313096
south;7;2035;-1.14142186335809
south;1;2036;-1.53296441103067
south;2;2036;-1.81723288077348
south;4;2036;-0.19280915842181
south;6;2036;-0.70359098932994
south;7;2036;-1.14309901921391
south;1;2037;-1.53862337229304
south;2;2037;-1.82336122262793
south;4;2037;-0.2015226456804
south;6;2037;-0.70445701774137
south;7;2037;-1.14302766846433
south;1;2038;-1.54239162949843
south;2;2038;-1.8275988604254
south;4;2038;-0.208345428882009
south;6;2038;-0.70343234209582
south;7;2038;-1.14106561365776
south;1;2039;-1.55127066185023
south;2;2039;-1.83694727336928
south;4;2039;-0.220278987230027
south;6;2039;-0.707518441596667
south;7;2039;-1.1442143339976
south;1;2040;-1.56086438365904
south;2;2040;-1.84701037577017
south;4;2040;-0.232927235035058
south;6;2040;-0.712319230554528
south;7;2040;-1.14807774379444
south;1;2041;-1.56535854321307
south;2;2041;-1.85197391591628
south;4;2041;-0.240475920585306
south;6;2041;-0.712020457257616
south;7;2041;-1.14684159133652
south;1;2042;-1.57096587135503
south;2;2042;-1.85561306938095
south;4;2042;-0.24498420725478
south;6;2042;-0.71238854411301
south;7;2042;-1.14665667966311
south;1;2043;-1.57670704619946
south;2;2043;-1.85938606954809
south;4;2043;-0.249626340626713
south;6;2043;-0.712890477670893
south;7;2043;-1.14660561469218
south;1;2044;-1.5830144241889
south;2;2044;-1.86372527286024
south;4;2044;-0.254834677143649
south;6;2044;-0.713958614373769
south;7;2044;-1.14712075286625
