maakunta;tkg;species;component;year;bm;ala
1;4;2;1;2020;2.75931794213746;NA
1;4;2;1;2021;2.75931794213746;NA
1;4;2;2;2015;0.54464093605778;NA
1;4;2;2;2016;0.54464093605778;38.1770815408476
1;4;2;2;2017;0.54464093605778;NA
1;4;2;2;2018;0.54464093605778;NA
1;4;2;2;2019;0.54464093605778;NA
1;4;2;2;2020;0.54464093605778;NA
1;4;2;2;2021;0.54464093605778;NA
1;4;2;3;2015;1.52571723241828;NA
1;4;2;3;2016;1.52571723241828;38.1770815408476
1;4;2;3;2017;1.52571723241828;NA
1;4;2;3;2018;1.52571723241828;NA
1;4;2;3;2019;1.52571723241828;NA
1;4;2;3;2020;1.52571723241828;NA
1;4;2;3;2021;1.52571723241828;NA
1;4;2;4;2015;1.34645407593348;NA
1;4;2;4;2016;1.34645407593348;38.1770815408476
1;4;2;4;2017;1.34645407593348;NA
1;4;2;4;2018;1.34645407593348;NA
1;4;2;4;2019;1.34645407593348;NA
1;4;2;4;2020;1.34645407593348;NA
1;4;2;4;2021;1.34645407593348;NA
1;4;2;5;2015;0.224063075062881;NA
1;4;2;5;2016;0.224063075062881;38.1770815408476
1;4;2;5;2017;0.224063075062881;NA
1;4;2;5;2018;0.224063075062881;NA
1;4;2;5;2019;0.224063075062881;NA
1;4;2;5;2020;0.224063075062881;NA
1;4;2;5;2021;0.224063075062881;NA
1;4;2;6;2015;0.448025662033942;NA
1;4;2;6;2016;0.448025662033942;38.1770815408476
1;4;2;6;2017;0.448025662033942;NA
1;4;2;6;2018;0.448025662033942;NA
1;4;2;6;2019;0.448025662033942;NA
1;4;2;6;2020;0.448025662033942;NA
1;4;2;6;2021;0.448025662033942;NA
1;4;2;7;2015;2.19104974475651;NA
1;4;2;7;2016;2.19104974475651;38.1770815408476
1;4;2;7;2017;2.19104974475651;NA
1;4;2;7;2018;2.19104974475651;NA
1;4;2;7;2019;2.19104974475651;NA
1;4;2;7;2020;2.19104974475651;NA
1;4;2;7;2021;2.19104974475651;NA
1;4;3;1;2015;11.4853659877537;NA
1;4;3;1;2016;11.4853659877537;38.1770815408476
1;4;3;1;2017;11.4853659877537;NA
1;4;3;1;2018;11.4853659877537;NA
1;4;3;1;2019;11.4853659877537;NA
1;4;3;1;2020;11.4853659877537;NA
1;4;3;1;2021;11.4853659877537;NA
1;4;3;2;2015;1.81742626317343;NA
1;4;3;2;2016;1.81742626317343;38.1770815408476
1;4;3;2;2017;1.81742626317343;NA
