maakunta;peat_type;tree_type;year;basal_area
7;7;pine;2015;0
7;7;pine;2016;0
7;7;pine;2017;0
7;7;pine;2018;0
7;7;pine;2019;0
7;7;pine;2020;0
7;7;pine;2021;0
7;7;spruce;2015;0
7;7;spruce;2016;0
7;7;spruce;2017;0
7;7;spruce;2018;0
7;7;spruce;2019;0
7;7;spruce;2020;0
7;7;spruce;2021;0
7;7;deciduous;2015;0
7;7;deciduous;2016;0
7;7;deciduous;2017;0
7;7;deciduous;2018;0
7;7;deciduous;2019;0
7;7;deciduous;2020;0
7;7;deciduous;2021;0
8;1;pine;2015;1.7655277778
8;1;pine;2016;1.7655277778
8;1;pine;2017;1.7655277778
8;1;pine;2018;1.7655277778
8;1;pine;2019;1.7655277778
8;1;pine;2020;1.7655277778
8;1;pine;2021;1.7655277778
8;1;spruce;2015;11.719980069
8;1;spruce;2016;11.719980069
8;1;spruce;2017;11.719980069
8;1;spruce;2018;11.719980069
8;1;spruce;2019;11.719980069
8;1;spruce;2020;11.719980069
8;1;spruce;2021;11.719980069
8;1;deciduous;2015;10.063902199
8;1;deciduous;2016;10.063902199
8;1;deciduous;2017;10.063902199
8;1;deciduous;2018;10.063902199
8;1;deciduous;2019;10.063902199
8;1;deciduous;2020;10.063902199
8;1;deciduous;2021;10.063902199
8;2;pine;2015;5.16161684530544
8;2;pine;2016;5.16161684530544
8;2;pine;2017;5.16161684530544
8;2;pine;2018;5.16161684530544
8;2;pine;2019;5.16161684530544
8;2;pine;2020;5.16161684530544
8;2;pine;2021;5.16161684530544
8;2;spruce;2015;8.21924133997943
8;2;spruce;2016;8.21924133997943
8;2;spruce;2017;8.21924133997943
8;2;spruce;2018;8.21924133997943
8;2;spruce;2019;8.21924133997943
8;2;spruce;2020;8.21924133997943
8;2;spruce;2021;8.21924133997943
8;2;deciduous;2015;6.71198116741517
8;2;deciduous;2016;6.71198116741517
8;2;deciduous;2017;6.71198116741517
8;2;deciduous;2018;6.71198116741517
8;2;deciduous;2019;6.71198116741517
8;2;deciduous;2020;6.71198116741517
8;2;deciduous;2021;6.71198116741517
8;4;pine;2015;15.3985177336515
8;4;pine;2016;15.3985177336515
8;4;pine;2017;15.3985177336515
8;4;pine;2018;15.3985177336515
8;4;pine;2019;15.3985177336515
8;4;pine;2020;15.3985177336515
